<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20220926,000000,56.9580000,58.8629000,56.0000000,58.5350000,1185
USDRUB,D,20220927,000000,57.7850000,59.4000000,57.2750000,58.1500000,1375
USDRUB,D,20220928,000000,57.7500000,59.1920000,56.8730000,57.9340000,1209
USDRUB,D,20220929,000000,57.4500000,58.5250000,56.0000000,56.7500000,931
USDRUB,D,20220930,000000,57.2350000,61.0450000,56.7500000,59.2000000,953
USDRUB,D,20221002,000000,59.2000000,60.2847000,59.2000000,60.2238000,20
USDRUB,D,20221003,000000,60.0500000,60.0500000,57.1000000,58.0211000,1199
USDRUB,D,20221004,000000,58.0149000,59.8750000,57.7500000,59.0165000,1634
USDRUB,D,20221005,000000,59.0138000,61.2000000,57.9000000,60.0000000,1537
USDRUB,D,20221006,000000,60.3250000,62.2500000,59.4450000,60.7500000,1139
USDRUB,D,20221007,000000,60.5201000,62.4500000,60.2750000,60.9500000,1216
USDRUB,D,20221010,000000,61.1850000,63.7951000,60.8750000,62.0000000,865
USDRUB,D,20221011,000000,62.4275000,65.4943000,62.4275000,65.4302000,994
USDRUB,D,20221012,000000,63.6000000,65.1500000,63.0000000,63.8000000,394
USDRUB,D,20221013,000000,64.2000000,65.2495000,62.1500000,63.9500000,1840
USDRUB,D,20221014,000000,63.0000000,64.0750000,61.0000000,61.9000000,1115
USDRUB,D,20221016,000000,61.1500000,61.1500000,61.1500000,61.1500000,1
USDRUB,D,20221017,000000,61.6500000,62.6500000,60.4750000,61.0500000,547
USDRUB,D,20221018,000000,60.8750000,62.3500000,60.4500000,60.5000000,668
USDRUB,D,20221019,000000,61.3000000,62.3500000,60.4000000,61.8500000,988
USDRUB,D,20221020,000000,61.0000000,62.2680000,60.3000000,61.5000000,618
USDRUB,D,20221021,000000,60.7500000,61.7000000,60.3750000,60.6500000,281
USDRUB,D,20221024,000000,61.2250000,62.3500000,60.3750000,61.0000000,337
USDRUB,D,20221025,000000,61.0000000,62.0500000,60.2500000,60.2500000,579
USDRUB,D,20221026,000000,61.0000000,62.0000000,60.3250000,61.2500000,892
USDRUB,D,20221027,000000,61.2500000,61.9490000,60.3000000,61.3000000,939
USDRUB,D,20221028,000000,61.3000000,61.8000000,60.3750000,61.5000000,337
USDRUB,D,20221030,000000,61.5000000,61.5000000,61.5000000,61.5000000,1
USDRUB,D,20221031,000000,61.5000000,62.3250000,60.0000000,61.0000000,694
