<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDSGD,D,20221014,000000,1.4310400,1.4312800,1.4203000,1.4262000,1293763
USDSGD,D,20221016,000000,1.4262000,1.4262000,1.4240000,1.4252900,43161
USDSGD,D,20221017,000000,1.4253400,1.4280500,1.4185800,1.4211000,1086594
USDSGD,D,20221018,000000,1.4211700,1.4229800,1.4157700,1.4198200,1174211
USDSGD,D,20221019,000000,1.4198000,1.4262000,1.4186300,1.4258700,1076575
USDSGD,D,20221020,000000,1.4258300,1.4277000,1.4180500,1.4246900,1285191
USDSGD,D,20221021,000000,1.4247800,1.4313000,1.4143900,1.4145000,1661047
USDSGD,D,20221023,000000,1.4146000,1.4184300,1.4137200,1.4168200,124687
USDSGD,D,20221024,000000,1.4168200,1.4245200,1.4158700,1.4211000,1533371
USDSGD,D,20221025,000000,1.4210900,1.4256000,1.4151300,1.4169200,1195190
USDSGD,D,20221026,000000,1.4169200,1.4188000,1.4027400,1.4029700,1405538
USDSGD,D,20221027,000000,1.4030400,1.4120600,1.4018400,1.4096500,1579506
USDSGD,D,20221028,000000,1.4096600,1.4140100,1.4051600,1.4106000,1343420
USDSGD,D,20221030,000000,1.4106000,1.4119100,1.4093500,1.4117500,37526
USDSGD,D,20221031,000000,1.4117900,1.4171000,1.4105800,1.4150700,940721
