<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDINR,D,20221002,000000,81.5010000,81.5010000,81.5010000,81.5010000,2
USDINR,D,20221003,000000,81.5010000,81.9250000,81.4800000,81.4900000,4577
USDINR,D,20221004,000000,81.5600000,81.6800000,81.2650000,81.4520000,4996
USDINR,D,20221005,000000,81.4520000,81.7110000,81.3030000,81.6310000,1089
USDINR,D,20221006,000000,81.6310000,82.3280000,81.4600000,82.3280000,4331
USDINR,D,20221007,000000,82.3100000,82.8120000,82.0890000,82.8120000,5728
USDINR,D,20221009,000000,82.8120000,82.8120000,82.8120000,82.8120000,1
USDINR,D,20221010,000000,82.8120000,82.8120000,82.2360000,82.3970000,3804
USDINR,D,20221011,000000,82.3970000,82.4970000,82.0840000,82.2540000,3711
USDINR,D,20221012,000000,82.2380000,82.3675000,82.1500000,82.1950000,3057
USDINR,D,20221013,000000,82.2220000,82.6600000,82.1000000,82.1720000,4487
USDINR,D,20221014,000000,82.1820000,82.4230000,82.1010000,82.2750000,4024
USDINR,D,20221016,000000,82.2750000,82.3400000,82.2750000,82.3400000,5
USDINR,D,20221017,000000,82.3400000,82.4200000,82.0800000,82.1750000,4392
USDINR,D,20221018,000000,82.1750000,82.3810000,81.9980000,82.2810000,5464
USDINR,D,20221019,000000,82.2810000,83.1010000,82.2630000,83.0080000,4402
USDINR,D,20221020,000000,82.9850000,83.2850000,82.5030000,82.7440000,4474
USDINR,D,20221021,000000,82.8200000,82.9125000,82.5100000,82.5250000,3201
USDINR,D,20221024,000000,82.8100000,82.8310000,82.7270000,82.7460000,219
USDINR,D,20221025,000000,82.7500000,82.8480000,82.3930000,82.5150000,4545
USDINR,D,20221026,000000,82.5150000,82.5150000,81.9010000,81.9010000,971
USDINR,D,20221027,000000,81.9010000,82.5500000,81.9010000,82.3640000,4986
USDINR,D,20221028,000000,82.3640000,82.4975000,82.2630000,82.2660000,3504
USDINR,D,20221030,000000,82.2660000,82.2660000,82.2660000,82.2660000,1
USDINR,D,20221031,000000,82.2660000,82.8630000,82.2660000,82.7450000,6163
